Strain ID,Species,Specimen,Date collected,Province,"Short-read
sequencer",DDBJ_short_accession,"Long-read
sequencer",DDBJ_long_accession,Sequence type,"Carbapenemase
genotype"
KP217,Klebsiella pneumoniae,Urine,19/4/2016,Bangkok,HiSeq,DRX115136,-,-,ST16,NDM-1 OXA-232
KP219,Klebsiella pneumoniae,Urine from catheter,4/8/2016,Bangkok,HiSeq,DRX114782,PacBio,DRX187480,ST11,NDM-1 OXA-181
KP222,Klebsiella pneumoniae,Sputum,21/3/2016,Bangkok,HiSeq,DRX115137,-,-,ST16,OXA-232
KP223,Klebsiella pneumoniae,Urine,25/3/2016,Bangkok,HiSeq,DRX115138,-,-,ST16,NDM-1 OXA-232
KP224,Klebsiella pneumoniae,Urine,27/3/2016,Bangkok,HiSeq,DRX115139,-,-,ST16,OXA-232
KP225,Klebsiella pneumoniae,Pus,2/4/2016,Bangkok,HiSeq,DRX115140,-,-,ST16,NDM-1 OXA-232
KP226,Klebsiella pneumoniae,Urine,4/4/2016,Bangkok,HiSeq,DRX115141,-,-,ST16,NDM-1 OXA-232
KP227,Klebsiella pneumoniae,Sputum,4/6/2016,Bangkok,HiSeq,DRX115142,-,-,ST16,NDM-1
KP228,Klebsiella pneumoniae,Sputum,4/5/2016,Bangkok,HiSeq,DRX115143,-,-,ST16,NDM-1 OXA-232
KP229,Klebsiella pneumoniae,Peritoneal dialysis fluid,4/8/2016,Bangkok,HiSeq,DRX115144,-,-,ST16,NDM-1 OXA-232
KP230,Klebsiella pneumoniae,Sputum,4/12/2016,Bangkok,HiSeq,DRX115145,-,-,ST16,NDM-1 OXA-232
KP231,Klebsiella pneumoniae,Sputum,15/4/2016,Bangkok,HiSeq,DRX115146,-,-,ST11,OXA-232
KP232,Klebsiella pneumoniae,Sputum,18/4/2016,Bangkok,HiSeq,DRX115147,-,-,ST16,NDM-1 OXA-232
KP233,Klebsiella pneumoniae,Urine from catheter,5/12/2016,Bangkok,HiSeq,DRX115148,-,-,ST16,NDM-1 OXA-232
KP236,Klebsiella pneumoniae,Urine,26/4/2016,Bangkok,HiSeq,DRX115149,-,-,ST16,NDM-1 OXA-232
KP237,Klebsiella pneumoniae,Urine,25/4/2016,Bangkok,HiSeq,DRX115150,-,-,ST16,NDM-1 OXA-232
KP238,Klebsiella pneumoniae,Sputum,5/2/2016,Bangkok,HiSeq,DRX115151,-,-,ST16,NDM-1 OXA-232
KP239,Klebsiella pneumoniae,Ascitic fluid,5/4/2016,Bangkok,HiSeq,DRX115152,-,-,ST16,NDM-1 OXA-232
KP240,Klebsiella pneumoniae,Urine,5/6/2016,Bangkok,HiSeq,DRX115153,-,-,ST16,NDM-1 OXA-232
KP241,Klebsiella pneumoniae,Urine,5/7/2016,Bangkok,HiSeq,DRX115154,-,-,ST16,NDM-1 OXA-232
KP242,Klebsiella pneumoniae,Blood,5/11/2016,Bangkok,HiSeq,DRX114783,-,-,ST231,OXA-232
KP244,Klebsiella pneumoniae,Urine from catheter,18/5/2016,Bangkok,HiSeq,DRX114784,-,-,ST147,OXA-181
KP247,Klebsiella pneumoniae,Urine,13/5/2016,Bangkok,HiSeq,DRX114785,-,-,ST16,NDM-1 OXA-232
KP255,Klebsiella pneumoniae,Urine,5/5/2016,Bangkok,HiSeq,DRX115155,-,-,ST231,OXA-232
KP256,Klebsiella pneumoniae,Urine,5/1/2016,Bangkok,HiSeq,DRX114786,-,-,ST16,NDM-1 OXA-232
KP259,Klebsiella pneumoniae,Urine,25/5/2016,Bangkok,HiSeq,DRX114787,-,-,ST231,OXA-232
KP261,Klebsiella pneumoniae,Rectal swab,31/5/2016,Bangkok,HiSeq,DRX114788,-,-,ST307,NDM-1
KP263,Klebsiella pneumoniae,Blood,28/7/2016,Bangkok,HiSeq,DRX141731,-,-,ST231,OXA-232
KP266,Klebsiella pneumoniae,Sputum,26/7/2016,Bangkok,HiSeq,DRX141732,-,-,ST231,OXA-232
KP271,Klebsiella pneumoniae,Rectal swab,6/7/2016,Bangkok,HiSeq,DRX141733,-,-,ST147,NDM-1
KP273,Klebsiella pneumoniae,Sputum,1/7/2016,Bangkok,HiSeq,DRX141734,-,-,ST11,NDM-1
KP276,Klebsiella pneumoniae,Sputum,15/6/2016,Bangkok,HiSeq,DRX141735,-,-,ST14,NDM-1 OXA-232
KP278,Klebsiella pneumoniae,Urine,15/6/2016,Bangkok,HiSeq,DRX141736,-,-,ST14,NDM-1 OXA-232
KP280,Klebsiella pneumoniae,Urine,10/8/2016,Bangkok,HiSeq,DRX141737,-,-,ST16,NDM-1 OXA-232
KP283,Klebsiella pneumoniae,Urine from catheter,22/8/2016,Bangkok,HiSeq,DRX141738,-,-,ST336,NDM-1
KP295,Klebsiella pneumoniae,Sputum,4/9/2016,Bangkok,HiSeq,DRX141739,-,-,ST231,OXA-232
KP299,Klebsiella pneumoniae,Swab from neck,7/9/2016,Bangkok,HiSeq,DRX141740,-,-,ST231,OXA-232
KP306,Klebsiella pneumoniae,Blood,24/9/2016,Bangkok,HiSeq,DRX141742,-,-,ST231,OXA-232
KP307,Klebsiella pneumoniae,Sputum,18/9/2016,Bangkok,HiSeq,DRX141743,-,-,ST16,NDM-1 OXA-232
KP314,Klebsiella pneumoniae,Wound,23/10/2016,Bangkok,HiSeq,DRX141746,-,-,ST16,NDM-1 OXA-232
KP315,Klebsiella pneumoniae,Swab from amputated limb,25/10/2016,Bangkok,HiSeq,DRX141747,-,-,ST231,OXA-232
KP317,Klebsiella pneumoniae,Urine from catheter,20/10/2016,Bangkok,HiSeq,DRX141748,-,-,ST16,NDM-1 OXA-232
KP319,Klebsiella pneumoniae,Urine,22/10/2016,Bangkok,HiSeq,DRX141749,-,-,ST231,OXA-232
KP327,Klebsiella pneumoniae,Urine,6/10/2016,Bangkok,HiSeq,DRX141751,-,-,ST231,OXA-232
KP328,Klebsiella pneumoniae,Urine from catheter,4/10/2016,Bangkok,HiSeq,DRX141752,-,-,ST147,NDM-1
KP333,Klebsiella pneumoniae,Percutaneous dranage fluid,26/9/2016,Bangkok,HiSeq,DRX141753,-,-,ST231,OXA-232
KP335,Klebsiella pneumoniae,Bedsore,1/10/2016,Bangkok,HiSeq,DRX141754,-,-,ST231,OXA-232
KP342,Klebsiella pneumoniae,Urine,3/11/2016,Bangkok,HiSeq,DRX141755,-,-,ST16,NDM-1 OXA-232
KP343,Klebsiella pneumoniae,Urine,29/10/2016,Bangkok,HiSeq,DRX141756,-,-,ST16,NDM-1 OXA-232
KP344,Klebsiella pneumoniae,Urine,30/10/2016,Bangkok,HiSeq,DRX141757,-,-,ST147,NDM-1
KP346,Klebsiella pneumoniae,Urine,9/11/2016,Bangkok,HiSeq,DRX141758,-,-,ST14,OXA-232
KP353,Klebsiella pneumoniae,Urine,11/10/2016,Bangkok,HiSeq,DRX141760,-,-,ST16,NDM-1 OXA-232
KP354,Klebsiella pneumoniae,Dranage fluid,10/10/2016,Bangkok,HiSeq,DRX141761,-,-,ST231,OXA-232
KP361,Klebsiella pneumoniae,Urine,18/11/2016,Bangkok,HiSeq,DRX141762,-,-,ST16,NDM-1 OXA-232
KP362,Klebsiella pneumoniae,Sputum,18/11/2016,Bangkok,HiSeq,DRX141763,-,-,ST147,NDM-1
KP363,Klebsiella pneumoniae,Urine,21/11/2016,Bangkok,HiSeq,DRX141764,-,-,ST11,NDM-1
KP364,Klebsiella pneumoniae,Buccal swab,24/11/2016,Bangkok,HiSeq,DRX141765,-,-,ST15,NDM-1
KP366,Klebsiella pneumoniae,Urine,25/11/2016,Bangkok,HiSeq,DRX141766,-,-,ST147,NDM-1
KP367,Klebsiella pneumoniae,Sputum,23/11/2016,Bangkok,HiSeq,DRX141767,-,-,ST231,OXA-232
KP369,Klebsiella pneumoniae,Rectal swab,28/11/2016,Bangkok,HiSeq,DRX141768,-,-,ST231,OXA-232
KP370,Klebsiella pneumoniae,Urine from catheter,26/11/2016,Bangkok,HiSeq,DRX141769,-,-,ST231,OXA-232
KP376,Klebsiella pneumoniae,Urine,12/12/2016,Bangkok,HiSeq,DRX141771,-,-,ST231,OXA-232
KP378,Klebsiella pneumoniae,Sputum,10/1/2017,Bangkok,HiSeq,DRX141772,-,-,ST16,NDM-1
KP379,Klebsiella pneumoniae,Urine,1/1/2017,Bangkok,HiSeq,DRX141773,-,-,ST231,OXA-232
KP384,Klebsiella pneumoniae,Wound,9/1/2017,Bangkok,HiSeq,DRX141774,-,-,ST16,NDM-1 OXA-232
KP390,Klebsiella pneumoniae,Rectal swab,20/1/2017,Bangkok,HiSeq,DRX141775,-,-,ST147,OXA-232
