reference,strain,SampleAcc,LaneAcc,SupplierName,StudyAccession,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,SUPPLIER_SAMPLE_NAME,DATE,Strain,main_ST,neonate,major_wards
this study,42092_2#15,ERS7984945,ERR12058965,CLL268,ERP126322,Klebsiella pneumoniae,strong,19,767980,2210945,5362980,yes (838),ambiguous_bases,ST37,1,0,5,7,ybt 18; ICEKp15,400-2LV,-,0,-,0,-,0,-,0,-,wzi94,KL62,strA.v1^;strB.v1,-,-,-,-,-,-,-,sul1;sul2*,tet(A).v1,-,dfrA7,TEM-1D.v1^,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST37,2,9,2,1,13,1,16,21,21*,99,105,67,230,606,17,1,5,29*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CLL268,2020,NA,ST37,n,A ETC
this study,42092_2#160,ERS7985299,ERR12059110,1009331,ERP126322,Klebsiella pneumoniae,strong,101,216958,528025,5861285,yes (1794),ambiguous_bases,ST113,0,1,8,17,-,0,-,0,-,0,-,0,-,0,-,wzi355,KL114,aac(3)-IIa.v1^;aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*,-,-,qnrS1,-,-,CatB4.v1;catII.2*;cmlA5,arr-2,sul2,-,-,dfrA14.v2*;dfrA30*,LAP-2;OXA-1;OXA-10;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1,-,-,-,-,OXA-9.v1*-42%,-,ST113,14,1,2,1,21,1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1009331,2011,NA,other,n,unknown
this study,42092_2#162,ERS7984937,ERR12059112,D38119,ERP126322,Klebsiella pneumoniae,weak,141,260554,1540196,9463860,yes (1920),"total_size,ambiguous_bases",ST14,0,0,8,18,-,0,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1;aadA*;aph(3')-Ia;strA.v1^;strB.v1,-,-,-,vanSF*?,-,catII.2*;cmlA5;floR.v2*,arr-2,sul1;sul2,tet(A).v2;tet(D),-,dfrA23;dfrA8,OXA-10;TEM-117^,-,-,-,-,SHV-28.v1^,-,-,-,-,-,vanRF*;vanYF*?,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D38119,2006,NA,ST14,n,unknown
this study,42092_2#164,ERS7984938,ERR12059114,A43110,ERP126322,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,59,165858,376255,5058630,yes (61),ambiguous_bases,ST480-3LV,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi171,KL53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OKP-B-6?,-,-,-,-,-,-,ST480-3LV,18,22,55,321,193,13,227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A43110,2006,NA,other,u,unknown
this study,42092_2#166,ERS7985021,ERR12059116,T704,ERP126322,Klebsiella pneumoniae,strong,72,407879,784819,5561450,yes (500),ambiguous_bases,ST48,1,1,9,17,ybt 14; ICEKp5,135-4LV,-,0,-,0,-,0,-,0,-,wzi62,KL62,aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA2^;strA.v1^;strB.v1,-,-,-,-,mphA,CatB4.v1;catA1^,-,sul1?;sul2^,tet(A).v1,-,dfrA12;dfrA7,OXA-1;TEM-1D.v1^,-,CTX-M-15;SHV-2,-,-,-,238S,-,-,GyrA-83Y,-,-,ST48,2,5,2,2,7,1,10,4,4,5,4,1,27,251,95,4,134,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T704,2006,NA,ST48,n,unknown
this study,42092_2#167,ERS7984982,ERR12059117,A4789,ERP126322,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,44,413979,1203886,5239177,yes (83),ambiguous_bases,ST841,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi202,KL127 (KL155),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OKP-B-6*?,-,-,-,-,-,-,ST841,18,15,64,59,11,13,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A4789,1999,NA,other,n,unknown
this study,42092_2#168,ERS7985022,ERR12059118,D39074,ERP126322,Klebsiella pneumoniae,strong,99,260770,692462,5881139,yes (2075),ambiguous_bases,ST14,0,0,7,17,-,0,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),aac(3)-IIa.v1;aadA*;aph(3')-Ia;strA.v1^;strB.v1,-,-,-,-,-,catII.2*;cmlA5;floR.v2*,arr-2,sul1;sul2,tet(A).v2;tet(D),-,dfrA23;dfrA8,OXA-10;TEM-1D.v1^,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D39074,2006,NA,ST14,y,unknown
this study,42092_2#16,ERS7984904,ERR12058966,A34208,ERP126322,Klebsiella pneumoniae,strong,51,353891,584884,5428306,yes (906),ambiguous_bases,ST15,0,1,7,14,-,0,-,0,-,0,-,0,-,0,-,wzi24,"KL24 (KL54,KL55)",aac(3)-IIa.v1^;aac(6')-Ib-cr.v2*;aadA*;strA.v1*;strB.v1*,-,-,qnrB1.v1,-,-,CatB4.v1;catII.2*,-,sul2,-,-,dfrA14.v2*,OXA-1;OXA-9.v1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST15,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A34208,2005,NA,ST15,n,unknown
this study,42092_2#170,ERS7985024,ERR12059120,D39041,ERP126322,Klebsiella pneumoniae,strong,78,443981,2261564,9049486,yes (1983),"total_size,ambiguous_bases",ST14,0,0,6,7,-,0,-,0,-,0,-,0,-,0,-,wzi2,KL2 (KL30),strA.v1;strB.v1,-,-,-,vanSF*?,-,catA1*,-,sul2,tet(D),-,dfrA5,-,-,-,-,-,SHV-28.v1^,-,-,-,-,-,vanRF*;vanYF*?,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D39041,2006,NA,ST14,n,unknown
this study,42092_2#172,ERS7985023,ERR12059122,D40071,ERP126322,Klebsiella pneumoniae,strong,53,362226,820826,5750401,yes (677),ambiguous_bases,ST268,5,0,5,9,ybt 0; ICEKp10,580-1LV,clb 3,13-1LV,iuc 1,78,iro 1,1,rmp 1; KpVP-1,26-1LV,rmpA2_2*-47%,wzi95,KL20,aac(3)-IIa.v1;strA.v1;strB.v1,-,-,-,-,-,catA1*,-,sul1;sul2,-,-,dfrA5,SCO-1;TEM-1D.v1^,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST268,2,1,2,1,7,1,81,6,15,25,4,11,371,319*,72,14,4,2,2,10,2,2,2,2,2*,3,2,2,2,2,2,2,2,1,1,34,1,1,1,1,1,1,22,2,2,-,D40071,2006,NA,other,n,unknown
this study,42092_2#173,ERS7984985,ERR12059123,B1732,ERP126322,Klebsiella pneumoniae,strong,46,410283,773584,5598311,yes (1650),ambiguous_bases,ST45,1,0,6,8,ybt 10; ICEKp4,78,-,0,-,0,-,0,-,0,-,wzi101,KL24,aadA4.v1*;strA.v1^;strB.v1,-,-,-,-,-,catA1^,-,sul2*,tet(D),-,dfrA21*,TEM-1D.v1^,-,-,-,-,SHV-1,-,-,-,-,-,-,ST45,2,1,1,6,7,1,12,3,12,4,11,3,21,18,3,10,16,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B1732,2000,NA,ST45,n,unknown
this study,42092_2#174,ERS7985025,ERR12059124,D39883,ERP126322,Klebsiella pneumoniae,strong,27,476619,1219235,5308763,yes (148),ambiguous_bases,ST4295,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi356,KL117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,-,-,-,-,-,ST4295,2,6,1,3,10,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D39883,2006,NA,other,n,unknown
this study,42092_2#176,ERS7985026,ERR12059126,A43700,ERP126322,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,51,656738,1030462,5583976,no,-,ST3861-1LV,0,0,4,6,-,0,-,0,-,0,-,0,-,0,-,wzi165,KL?,-,-,-,-,-,-,catII.2*,-,sul1;sul2,tet(A).v1*,-,dfrA14.v2*;dfrA15.v2,-,-,-,-,-,OKP-A-12^,-,OmpK35-0%,-,-,-,-,ST3861-1LV,145,19,39,58,401,21,549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A43700,2006,NA,other,u,unknown
this study,42092_2#177,ERS7985116,ERR12059127,D48377,ERP126322,Klebsiella pneumoniae,strong,51,359986,691762,5715415,yes (631),ambiguous_bases,ST101,1,1,8,16,ybt 9; ICEKp3,183,-,0,-,0,-,0,-,0,-,wzi137,KL17,aac(3)-IIa.v1;aac(6')-Ib-cr.v2;aadA*;strA.v1*;strB.v1*,-,-,-,-,-,CatB4.v1;catII.2*,-,sul1;sul2,tet(D),-,dfrA1.v2;dfrA14.v2*,OXA-1;OXA-9.v1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,GyrA-83Y;GyrA-87G;ParC-80I,-,aadA23*?-0%,ST101,2,6,1,5,4,1,6,5,11,6,5,1,25,37,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D48377,2008,NA,ST101,n,unknown
this study,42092_2#178,ERS7985300,ERR12059128,1005613,ERP126322,Klebsiella pneumoniae,strong,43,346813,1050573,5375570,yes (68),ambiguous_bases,ST515,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi202,KL127 (KL155),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST515,2,1,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1005613,2011,NA,other,n,unknown
this study,42092_2#179,ERS7985117,ERR12059129,D49039,ERP126322,Klebsiella pneumoniae,strong,48,629652,851387,5529831,yes (442),ambiguous_bases,ST101,0,0,5,7,-,0,-,0,-,0,-,0,-,0,-,wzi29,KL106,strA.v1;strB.v1,-,-,-,-,-,-,-,sul1;sul2,tet(D),-,dfrA5,TEM-1D.v1^,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST101,2,6,1,5,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D49039,2008,NA,ST101,y,unknown
this study,42092_2#17,ERS7985076,ERR12058967,C17131,ERP126322,Klebsiella pneumoniae,strong,49,354972,715456,5389535,yes (795),ambiguous_bases,ST36,0,0,1,2,-,0,-,0,-,0,-,0,-,0,-,wzi173,"KL102 (KL149,KL155)",strA.v1;strB.v1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST36,2,1,2,1,7,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C17131,2007,NA,ST36,n,unknown
this study,42092_2#180,ERS7985301,ERR12059130,1007023,ERP126322,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,87,447361,972360,5958616,yes (1076),ambiguous_bases,ST1136,0,1,7,14,-,0,-,0,-,0,-,0,-,0,-,wzi443,KL10,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1;strB.v1,-,-,qnrB1.v2^,-,-,CatB4.v1;catA1*?,-,sul1*;sul2,-,-,dfrA14.v2*;dfrA15.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,OKP-B-7^;SHV-11.v1^,35Q,-,-,-,ant(3'')-IIa*?-0%;tet(A).v1*-3%,-,ST1136,18,22,18,63,11,13,208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1007023,2011,NA,other,n,unknown
this study,42092_2#181,ERS7985118,ERR12059131,D48601,ERP126322,Klebsiella pneumoniae,strong,61,444537,747132,5563221,yes (337),ambiguous_bases,ST101,0,1,6,6,-,0,-,0,-,0,-,0,-,0,-,wzi29,KL106,aac(3)-IId^,-,-,-,-,-,catII.2*,-,sul2,-,-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,-,-,ST101,2,6,1,5,4,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D48601,2008,NA,ST101,n,unknown
this study,42092_2#182,ERS7985302,ERR12059132,1007038,ERP126322,Klebsiella pneumoniae,strong,82,378138,1105790,5849812,yes (451),ambiguous_bases,ST307,0,1,9,15,-,0,-,0,-,0,-,0,-,0,-,wzi173,"KL102 (KL149,KL155)",aac(3)-IIa.v1^;aac(3)-IId^;aadA2^;strA.v1^;strB.v1,-,-,-,-,ereA2;mphA,catII.2*,arr-2,sul1;sul2,-,-,dfrA12;dfrA5,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83I;ParC-80I,-,-,ST307,4,1,2,52,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1007038,2011,NA,ST307,n,unknown
this study,42092_2#183,ERS7985119,ERR12059133,D48984,ERP126322,Klebsiella pneumoniae,strong,75,215735,714653,5700559,yes (1001),ambiguous_bases,ST14,0,1,6,7,-,0,-,0,-,0,-,0,-,0,-,wzi16,KL16 (KL143),aac(3)-IId^,-,-,-,-,-,catA1*;catII.2*,-,sul2,-,-,dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,-,-,SHV-11.v2?-0%,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D48984,2008,NA,ST14,n,unknown
this study,42092_2#184,ERS7985303,ERR12059134,A58873,ERP126322,Klebsiella pneumoniae,strong,75,174382,350652,5417127,yes (3),ambiguous_bases,ST2136,0,0,3,3,-,0,-,0,-,0,-,0,-,0,-,-,-,strB.v1,-,-,-,-,-,-,-,sul2,-,-,dfrA14.v2,-,-,-,-,-,SHV-110^,156D;35Q,-,-,-,-,strA.v1*?-66%,ST2136,2,2,1,4,1,4,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A58873,2010,NA,other,n,unknown
this study,42092_2#185,ERS7985122,ERR12059135,D48521,ERP126322,Klebsiella pneumoniae,strong,48,707127,1248698,5614703,yes (1461),ambiguous_bases,ST15,0,0,7,11,-,0,-,0,-,0,-,0,-,0,-,wzi93,KL112,aac(3)-IIa.v1;aadA1.v1^;aadA2^,-,-,-,-,mphA,catII.2*,-,sul1;sul2,tet(A).v1,-,dfrA1.v2;dfrA12,TEM-1D.v1^,-,-,-,-,SHV-28.v1^,-,-,-,-,-,-,ST15,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D48521,2008,NA,ST15,u,unknown
this study,42092_2#186,ERS7985304,ERR12059136,19025,ERP126322,Klebsiella pneumoniae,strong,70,294636,586517,5728152,yes (858),ambiguous_bases,ST15,1,1,7,10,ybt 10; ICEKp4,28,-,0,-,0,-,0,-,0,-,wzi24,"KL24 (KL54,KL55)",aac(3)-IId^;strA.v1;strB.v1,-,-,-,-,-,catII.2*,-,sul1;sul2,-,-,dfrA22*;dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST15,1,1,1,1,1,1,1,16,12,4,3,3,35,50,3,10,23,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19025,2010,NA,ST15,n,unknown
this study,42092_2#187,ERS7985120,ERR12059137,A54024,ERP126322,Klebsiella pneumoniae,strong,39,298875,866870,5331288,yes (197),ambiguous_bases,ST4073,0,0,3,3,-,0,-,0,-,0,-,0,-,0,-,wzi5,KL5,aadA^,-,-,-,-,-,-,-,sul1,tet(B).v2*,-,-,-,-,-,-,-,SHV-37,35Q,-,-,-,-,-,ST4073,12,6,1,3,8,5,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A54024,2009,NA,other,n,unknown
this study,42092_2#188,ERS7985305,ERR12059138,1020822,ERP126322,Klebsiella pneumoniae,strong,74,389488,934132,5707663,yes (132),ambiguous_bases,ST20,0,1,9,16,-,0,-,0,-,0,-,0,-,0,-,wzi362,KL130,aac(3)-IId^;aac(6')-Ib-cr.v2;aadA2^;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,mphA,CatB4.v1;catII.2*,-,sul1;sul2,tet(B).v2*,-,dfrA12,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-187,-,-,-,-,-,-,ST20,2,3,1,1,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1020822,2011,NA,other,n,unknown
this study,42092_2#189,ERS7985121,ERR12059139,A54340,ERP126322,Klebsiella pneumoniae,strong,48,476981,1038153,5633238,yes (259),ambiguous_bases,ST101,1,1,6,8,ybt 6; ICEKp5,63,-,0,-,0,-,0,-,0,-,wzi29,KL106,aac(3)-IId^;strA.v1*;strB.v1*,-,-,qnrB1.v1,-,-,-,-,sul2,-,-,dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-1^,-,-,-,-,-,-,ST101,2,6,1,5,4,1,6,22,22,6,24,16,53,51,9,17,5,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A54340,2009,NA,ST101,n,unknown
this study,42092_2#18,ERS7985260,ERR12058968,BKQBD2,ERP126322,Klebsiella pneumoniae,strong,109,463781,1281172,5788887,yes (73),ambiguous_bases,ST391,1,1,7,10,ybt 14; ICEKp5,526,-,0,-,0,-,0,-,0,-,wzi554,KL?,aac(3)-IId^;strA.v1^;strB.v1,-,-,-,-,mphA,catII.2*,-,sul2*,-,-,dfrA14.v2*;dfrA30*,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-11.v1^,35Q,-,-,-,aph3-Ia.v1*-77%,-,ST391,10,5,1,4,6,4,4,6,4,186,167,1,257,250,2,65,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQBD2,2014,NA,ST391,y,CHATINKHA NURSERY
this study,42092_2#190,ERS7985306,ERR12059140,1011500,ERP126322,Klebsiella pneumoniae,strong,81,255581,927320,5854151,yes (293),ambiguous_bases,ST307,0,1,9,15,-,0,-,0,-,0,-,0,-,0,-,wzi173,"KL102 (KL149,KL155)",aac(3)-IIa.v1;aac(3)-IId^;aadA2^;strA.v1;strB.v1,-,-,-,-,ereA2;mphA,catII.2*,arr-2,sul1;sul2,-,-,dfrA12;dfrA5,TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,-,-,GyrA-83I;ParC-80I,-,-,ST307,4,1,2,52,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1011500,2011,NA,ST307,n,unknown
this study,42092_2#191,ERS7985123,ERR12059141,D50238 (1),ERP126322,Klebsiella pneumoniae,strong,20,718347,1196340,5408935,yes (67),ambiguous_bases,ST485,0,0,4,4,-,0,-,0,-,0,-,0,-,0,-,wzi84,KL28,-,-,-,qnrS1,-,-,-,-,sul1,tet(A).v1,-,dfrA1.v1,-,-,-,-,-,SHV-27^,156D,-,-,GyrA-83Y,-,-,ST485,2,1,1,1,7,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D50238 (1),2009,NA,other,n,unknown
this study,42092_2#192,ERS7985307,ERR12059142,1011466,ERP126322,Klebsiella pneumoniae,strong,68,420096,928440,5350145,yes (347),ambiguous_bases,ST482,0,0,6,7,-,0,-,0,-,0,-,0,-,0,-,wzi18,KL18,aadA2,-,-,-,-,-,catII.2*,-,sul1;sul2,tet(D),-,dfrA16.v2,TEM-1D.v1^,-,-,-,-,SHV-27^,156D,-,-,-,-,-,ST482,2,3,1,26,1,4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1011466,2011,NA,other,n,unknown
this study,42092_2#194,ERS7985027,ERR12059144,1662,ERP126322,Klebsiella pneumoniae,strong,42,406530,929632,5389451,yes (615),ambiguous_bases,ST2280,0,0,6,9,-,0,-,0,-,0,-,0,-,0,-,wzi202,KL127 (KL155),aac(3)-IIa.v1;strA.v1;strB.v1,-,-,-,-,mphA,catA1*,-,sul2,-,-,dfrA5,SCO-1;TEM-1D.v1^,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST2280,2,1,2,1,10,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1662,2006,NA,other,n,unknown
this study,42092_2#195,ERS7984988,ERR12059145,D2441,ERP126322,Klebsiella pneumoniae,strong,88,444039,739351,6132737,yes (1657),ambiguous_bases,ST14,3,0,5,9,-,0,-,0,iuc 1,1-1LV,-,0,-,0,rmpA2_8-60%,wzi2,KL2 (KL30),aac(3)-IIa.v1;aadA*;sat-2;strA.v1;strB.v1*,-,-,-,-,-,catA1*,-,sul2,-,-,dfrA1.v1,TEM-1D.v1^,-,-,-,-,SHV-28.v1^,-,-,-,-,-,-,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1*,1,1,-,-,-,-,-,-,-,-,D2441,1999,NA,ST14,y,unknown
this study,42092_2#196,ERS7985028,ERR12059146,D39848,ERP126322,Klebsiella pneumoniae,strong,37,721950,1529269,5390631,yes (742),ambiguous_bases,ST231,1,1,8,11,ybt 13; ICEKp2,464-1LV,-,0,-,0,-,0,-,0,-,wzi104,KL51,aac(3)-IId^;aac(6')-Ib'.v1;aadA*;strA.v1*;strB.v1*,-,-,-,-,-,catII.2*,-,sul2*,tet(D),-,dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,-,-,-,-,-,GyrA-83I;ParC-80I,OXA-9.v1*-42%,SHV-106*?-0%;SHV-12?-0%;SHV-187*?-74%,ST231,2,6,1,3,26,1,77,6,4,131,61,1,126,395,2,4,4,2*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D39848,NA,NA,other,n,unknown
this study,42092_2#198,ERS7985029,ERR12059148,A43511,ERP126322,Klebsiella pneumoniae,strong,40,434639,799845,5439230,yes (519),ambiguous_bases,ST348,1,0,4,6,ybt 14; ICEKp5,145-2LV,-,0,-,0,-,0,-,0,-,wzi94,KL62,strA.v1;strB.v1,-,-,-,-,-,catA1*,-,sul1;sul2,-,-,dfrA5,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST348,2,1,20,1,12,15,16,4,4,5,4,1,275,328*,2,4,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A43511,2006,NA,other,u,unknown
this study,42092_2#19,ERS7985077,ERR12058969,C17145,ERP126322,Klebsiella pneumoniae,strong,51,353479,642485,5392638,yes (2),ambiguous_bases,ST36,0,0,1,2,-,0,-,0,-,0,-,0,-,0,-,wzi173,"KL102 (KL149,KL155)",strA.v1;strB.v1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST36,2,1,2,1,7,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,C17145,2007,NA,ST36,n,unknown
